system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\Andrew\Desktop\AI Svn\andrew auclair\steering_week2\
display  D   display_settings.c:486  _al_score_display_settings       [   0.02942] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02943] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02945] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02946] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02948] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02949] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02950] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02952] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02953] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02954] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02956] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02957] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02958] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02960] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02961] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02962] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02963] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02965] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02966] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02967] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02969] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02970] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02971] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02973] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02974] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02975] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02977] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02978] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02979] Score is : 598
