system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jack\Development\EGPAI\Playground\Storm\Diablo2\editor\
display  D   display_settings.c:191  debug_display_settings           [   0.13792] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13793] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13794] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13794] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13795] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13796] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13797] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13798] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13799] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13800] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13801] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13802] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13803] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13804] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13805] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13805] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13807] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13808] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13809] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13810] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13810] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13811] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13812] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13813] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13814] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13815] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13815] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13816] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13817] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13818] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13819] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13820] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13820] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13821] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13822] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13823] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13824] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13825] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13826] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13826] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13827] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13829] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13830] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13830] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13831] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13833] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13834] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.13835] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.13836] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.13836] Single Buffer requirement not met.
